,cases,tests,date
214,1571,21100,2022-04-06
215,1487,20500,2022-04-07
216,1330,18400,2022-04-08
217,1414,17800,2022-04-09
218,440,8100,2022-04-10
219,381,6600,2022-04-11
220,1623,18700,2022-04-12
221,1269,16800,2022-04-13
222,1186,15500,2022-04-14
223,1201,14100,2022-04-15
